thirty-three	1
horace	3
poison'd	15
side-stitches	1
ermengare	1
cog	7
furrows	1
accommodate	1
new-enkindled	1
rind	2
plighted	3
ipse	2
misprised	2
tune	62
yet'	2
callet	3
drown	43
bagpipe	4
tomb]	3
'saint	2
rook'd	1
fraughting	1
'stand	4
bond-slave	1
killed	7
outstrip	3
cord	8
pastures'	1
'affected	1
window'd	2
marquis	14
excellencies	1
misbegotten	4
purposely	4
acquisition	1
tameness	2
se	2
honors-	1
ability's	1
selfsame	7
deifying	1
lodges	6
tongues	75
cydnus	3
thund'ring	1
lists	14
moods	5
thunderer	1
down	632
care-craz'd	1
mile-a	1
distingue	1
refresh'd	1
intrench'd	1
dominator	3
eyas-musket	1
lecherous	4
67	1
weird	6
nobis'	1
steer	4
milk-liver'd	1
slightest	3
elements	23
londoners	1
mason	2
blessed-fair	1
perspicuous	1
shoulder-bone	1
caesar]	1
wash	51
dreamers	1
clemency	1
squiny	1
sweet-fac'd	2
sham'd	13
masters	100
clare	1
dainties	3
concluding	1
gravest	1
sev'night	1
cooks	3
strengthened	2
rub	12
maculation	1
peradventure	15
cloakbag	1
(though	5
hymenaeus	1
side	171
frush	1
recounts	1
likelihood	13
land-rats	1
bowling	1
sempronius	8
unsure	6
be-dimm'd	1
agrippa]	3
respects	18
iniquity	6
regarding	1
adulation	1
aloof]	1
feast-	2
freshes	1
revenues	7
forfeitures	1
love-line	1
unhappily	5
warranties	3
affection's	2
day'	1
sc_1	1
infamy	12
anchor	6
midst	11
salicam	1
(dressed	1
savages-	1
blood-bespotted	1
baits	3
green-a	2
somme	1
impeach'd	1
expecters	1
incite	5
ostentation	8
wise	161
enfreedoming	1
dangerous	98
beg	94
courtier's	7
smirch'd	2
ingener	1
swashers	1
transgress'd	2
frantic-	1
regarded	6
spelling	1
whoso'er	1
bow	47
weaver-	1
succeed	13
synods	1
execution	48
tasted	7
betide	8
impetuous	2
unsex	1
perfection	25
slightness	1
wanting	21
swans	1
jay's	1
entirely	9
'caesar'-	1
senator	90
homes	2
pasture-	1
contemptuous	2
harlots	3
peacock	2
afeard-thy	1
launch'd	1
lapsed	1
dwelt	2
compound	18
back-wounding	1
kills	28
steerage	1
plants	13
it's	32
wived	1
resorted	1
imprisonment	16
love-shaft	1
chattles	1
measure	95
extenuated	1
suerly	1
importancy	1
hell-hound	1
health	101
estates-	1
120	1
widow	108
ear'	1
scandal	16
stain'd	24
wither'd	22
bloody-scepter'd	1
hedge-pig	1
entreatments	1
appeased	1
pulling	1
panel	1
farborough	1
choler	26
entreaties	11
ephesus-he	1
new-come	1
wife's	26
mulberry	2
murder's	3
quality	53
questant	1
lucianus	2
maid	170
deceives	3
covet	2
infirmities	4
self-	3
cook-	1
scrippage	1
hastings	146
re-united	1
reasonless	2
olivia's	14
hare-finder	1
falstaff's	8
dappled	1
small-	1
cruelty	21
empties	2
sextus	4
rolling	4
shower	3
seeting	1
fet	2
mangles	1
1606	2
staining	1
orifex	1
arden	7
(perhaps)	1
pandarus-	1
heaps	7
chide	49
muniments	1
proposes	1
phaethon-	1
galls	7
cobbled	1
cautels	1
four-	1
notify	2
ploody	1
catechising	1
outsell	1
non-performance	1
bordered	1
together]	2
dullard	2
ottomites	3
love)	3
foul	218
beauties-	1
proud-minded	1
conspirator	15
contracting	1
environ'd	3
heaviness	15
hatching	1
concolinel]	1
vile-concluded	1
consanguineous	1
messages	2
damaged	1
handkerchers	2
tripolis	3
wedding-ring	1
found'red	1
pardoning	2
water-	1
mock'ries	1
crowflowers	1
faults	98
legerity	1
moreover	19
discontenting	1
shrill-sounding	1
unbolt	2
ventured	1
hypocrisy	5
strik'st	2
pisa-	1
le	59
bertram's	1
patay	1
gnaws	2
accusativo	2
primal	2
enjoying	5
tybalts	1
unscann'd	1
prefer'st	1
please	392
thought-	3
courteously	2
sooth'	1
legacy	5
bench'd	1
peasantry	1
sol-fa	1
outlaw	32
plum	2
prescript	2
'gainst	101
intrenchant	1
copyright	228
winter's	23
grievest	1
come-o	1
ionia	1
up-staring-then	1
guiana	1
rod	15
153	1
labell'd	1
spirited	1
lincolnshire	1
peals	1
woe's	3
register	4
water-work	1
chollors	1
cocksure	1
bellow'd	1
pistols	1
staples	1
constant	48
paucas	1
rue	18
	119136
injointed	1
slighted	3
trouble	77
mow'd	1
butterwoman's	1
aught	75
untainted	5
caves	6
mistemp'red	1
thrusting	4
pavin	1
shiny	1
copy-book	1
well-took	1
fops	1
ferdinand]	5
enfreed	1
meet'st	2
o'erboard	1
conceives	3
clutch	3
minds	54
mirable	1
replenish'd	1
prisoner's	2
toby	204
dines	2
cassandra's	2
coloquintida	1
goaded	2
jurisdiction	2
piedness	1
suffigance	1
licenses	1
wars'	1
untent	1
bridgenorth	2
hare-lip	1
gipsies	1
crown-meaning	1
thimbles	1
bounteous	18
dreamt	19
'hold	3
pas	2
chequer'd	1
shaven	1
snare	13
courages	1
shouts]	1
nominally	1
languishes	2
backs-	1
surgeon's	2
facit	2
retell	1
filthy	21
mind-that's	1
fragrant	5
upbraidings	2
emulate	2
to's	9
smarting	2
comb	4
poniards	3
leigers	1
vultures	2
leagues	10
chud	1
ties	3
seeking	24
overdone's	2
mio	1
peasant]	1
haunt	17
near'st	2
yielding-	1
king'	1
sentences	6
rapture	2
stain	39
secret	63
rouen	15
rankest	2
beachy	1
incorporate	9
splitted	4
guest	35
chaffless	1
sland'red	2
wiving	2
finger	61
soul-my	1
lull'd	2
bird-bolt	1
overgone	1
read	201
[from	1
bourbier	1
majestically	1
cloudy	11
goldenly	1
eunuchs	2
mopsa	18
abjur'd	2
pois'd	3
number	50
entertainments	1
mass	31
sluggardiz'd	1
ourselves	114
butterflies	4
lunatic	12
blam'd	3
gonzalo'	1
butler	5
denny	9
scythe's	1
able	58
villanies	2
ranks	15
guilts	1
tricksy	2
unsaluted	1
burgundy	79
comely	6
instigated	1
wither	12
yawning	3
purposeth	2
tender-feeling	1
reserved	3
slow'd	1
barr'd	9
93	1
him)	1
carduus	1
suit's	1
papers	15
hooting	1
numbering	1
gascony	2
goliases	1
nook-shotten	1
billeted	2
exequies	1
that's	397
swain's	1
actor	12
belmont	16
eruptions	3
quart-pot	1
mexico	2
moonshine's	1
purgation	6
behind	116
sicyon-	1
arde-	1
grieved	7
firago	1
black'st	1
addeth	1
outpriz'd	1
flow'r	7
colourable	1
scullion	2
reconcil'd	5
loyalty-	1
ways	65
unfeed	1
diffidence	2
rounding	1
profanation	3
luxury	8
muleteers	2
wreath	3
frightful	2
buildings	4
night-tapers	1
flax	4
madam-	3
toucheth	5
hind	9
unread	1
hurly	4
'le	1
defer	2
untender	2
norfolk]	2
grounds	9
gravel	2
advises	2
fitful	1
grandame	1
jesu	19
mother	356
des	3
friends'	4
thrilling	1
aeacida	1
finger'd	2
untowardly	1
roared	2
dream]	1
tipp'd	1
afflicts	2
forge	5
mover	1
chief	107
loyal'st	1
hurry	3
pursuest	2
fair-fac'd	3
wild-fowl	1
archdeacon's	1
'by-and-by'	1
for	8218
sprang'st	1
confectionary	1
overhold	1
despite	52
proconsul	1
confusedly	1
drive	34
cheese-paring	1
jury	2
loseth	2
winning	4
sh'	1
bedeck	1
holland	4
(doctor-like)	1
flatt'red	1
[shouts	3
antonio	238
skimble-skamble	1
grasshoppers	1
buffet	4
have-ay	1
dwarf	4
savagery	2
felt'st	1
(by	1
work's	2
bless'd	14
curtail'd	1
welkin's	3
new'st	1
142	1
moral	24
vessel	31
liberal-conceited	1
progeny	5
europa	3
experimental	1
overthrown	11
tithe-pig's	1
a-height	1
archdeacon	1
balk'd	1
intricate	1
paraquito	1
knowledge-	1
conceals	1
lubberly	1
stock	25
pusillanimity	1
unsanctified	3
beggared	1
after-hours	2
never's	1
tartness	2
attendant-so	1
lukewarm	2
nursing	4
votarist	2
nobler-	1
frenchwoman	2
aeneas'	2
inventory	6
forage	3
shards	2
unmeriting	1
st	2
doubled	6
paps	1
weaver	7
scatt'red	5
seek't	1
dates-	1
verona's	2
wits	79
prancing	1
folly-	1
eleventh	2
